planned_decision_id,decision_order,decision_class,simulation_unit_id,background_realization_id,external_optimizer_seed,payload_logical_sha256,decision_status,valid_models,bic_m0,bic_m1,bic_m2,delta_bic_0_1,delta_bic_2_1,qpp_selected,formal_m1_period_s,period_label,result_core_m0_sha256,result_core_m1_sha256,result_core_m2_sha256
F3B5_HO_D0001,1,BASELINE,F3BBG_N015_A0_Q001_R002:NULL:PRIMARY,F3BBG_N015_A0_Q001_R002,0,d8d0c7d3fdd69edf46a96588223c6ab96a189502ee442a9b3fe0fe51ddc57d4d,VALID,3,-4.747852022309797,0.8227025342663197,-1.113594312328929,-5.570554556576116,-1.9362968465952486,False,132.25037552050702,formal_m1_center_not_selected,7835de4297df98b9a1dd6c4edbe472c0e69b147f7166adfd07cbfee8c3ee592e,ec9a6dab99301e37c0e397f57cb7b6acc46e22cb42ce077fbdf1fb26183f9a82,d350c0755b223a57be890b277208a9a61ae17d4c2cd0cf84728a2e490ebbfdc0
F3B5_HO_D0002,2,BASELINE,F3BBG_N015_A0_Q001_R002:POS:PRIMARY,F3BBG_N015_A0_Q001_R002,0,5547406aca940b195e342407c19e3a3c302143a5283f7edaf7679cad3bddab29,VALID,3,-4.446961181641665,1.0524782008188076,-0.8941834606570227,-5.499439382460473,-1.9466616614758303,False,171.12510395837518,formal_m1_center_not_selected,cbcad36421653227a0184a060c22ba31f9335e9566ef3099c3c824e136edff50,78068c9f08580fe4ef1f0e847b88efdf8e5667e6810a3f672270030c083ae93f,d800658e60a82a8ac8bb46f36de336b3d5bde34f0069647057593d128bfbcca5
F3B5_HO_D0003,3,BASELINE,F3BBG_N015_A0_Q001_R004:NULL:PRIMARY,F3BBG_N015_A0_Q001_R004,0,7c7a0c89226f791e871fad52ffdb70741278cf0b352e5fa8ecf7e7ba54552989,VALID,3,-5.091926518663133,0.4990690963755178,-1.2741108453403394,-5.590995615038651,-1.7731799417158571,False,215.84433339615208,formal_m1_center_not_selected,dbd3b8c4a2d906fcc0cd8bfa4b9c477f4485ac95b7076af730b701643997f721,d19b4bfcaf69ba8fbb9a39970d7058b6316e1f3f857911dc1d01b805219108cb,0e0dd1390481fed1cd2ac384e34dace19682020fac8bc204ca8b27bb9030469a
F3B5_HO_D0004,4,BASELINE,F3BBG_N015_A0_Q001_R004:POS:PRIMARY,F3BBG_N015_A0_Q001_R004,0,920a7b3b0d4007f0c645b9f3949238ba0ca551a1be011f6526ba5e248455fdac,VALID,3,-4.949235870224543,0.6685266311046671,-1.1173457758433036,-5.61776250132921,-1.7858724069479708,False,214.76204338150686,formal_m1_center_not_selected,0a9bed366c91a526e4ed18922976cba6110cd669ed5ef29b37424717bb781cec,c6d79d0f59ef941dad3c984546b02bff9a03f9928e45e470ad5f5e2f66e9aec4,52841f78a37319c1a8661b6e3b5e6242142354a0158914da5cac66fe805c88f9
F3B5_HO_D0005,5,BASELINE,F3BBG_N015_A0_Q001_R005:NULL:PRIMARY,F3BBG_N015_A0_Q001_R005,0,0f659bb709c911751ac51a021e6c3ceba3be2fb1a7c40425fefa6e19445a1a8d,VALID,3,-4.859042814658784,0.605799471020898,-1.3462019347436902,-5.464842285679682,-1.9520014057645882,False,167.612705358897,formal_m1_center_not_selected,f6cb762cc3592342a5b76f143934a5b7046efbe9d8f487d718e6de482a609f40,5faab1d96f132bbebf76ad40effe4236a94857fec53f2043f2690cc2b72f9c05,4f7a9f8e9f0d0845b04925053928cff51f2991840d4098d3d92bf159152aae90
F3B5_HO_D0006,6,BASELINE,F3BBG_N015_A0_Q001_R005:POS:PRIMARY,F3BBG_N015_A0_Q001_R005,0,35cb553df5d586bc5343d623ed42a9d3e5eb108cd86ccb99f95e1a762b2b8cbd,VALID,3,-4.65357354312304,0.8579445190853114,-1.0895916913650892,-5.511518062208351,-1.9475362104504006,False,174.384162062283,formal_m1_center_not_selected,58a4098c70e2c1471cf575d843a4b762bde7e1a4a661f500230ff15b174c1b97,39be489fddb0156c22d713744157f9dbdf6a652c6b2623decac6be0a1804fb29,3954bebba2281a95ec13c7a8dd9d90cfc8f0bd5543dff7cdf9ec6970ca4aeb61
F3B5_HO_D0007,7,BASELINE,F3BBG_N015_A0_Q001_R007:NULL:PRIMARY,F3BBG_N015_A0_Q001_R007,0,64c665040a276ff31620848798af0172fd26085115a64c98c546387004075ac4,VALID,3,-5.424522723524321,0.07998836917025542,-1.8321364847977266,-5.504511092694576,-1.912124853967982,False,127.97628270918005,formal_m1_center_not_selected,3a5e3b53c291355b91847b63d81cdd298b60ea6484d31aaeb9e6f6687d6bfd6b,1d1313183dee556e89da708bce37297ed5fe5fa5571636ea48f98b7742e92465,9a09d9991de99313e7ba59422a06b62f8b0b05d21577abcda8327cb171a68fd6
F3B5_HO_D0008,8,BASELINE,F3BBG_N015_A0_Q001_R007:POS:PRIMARY,F3BBG_N015_A0_Q001_R007,0,4be0d555fc26f2a3afb579874532655599e7a7b89044059f203da04deb098ddf,VALID,3,-5.801314384069345,-0.3324289969605765,-2.251162969320837,-5.468885387108768,-1.9187339723602603,False,128.44454819055608,formal_m1_center_not_selected,0a6878e4f387ac20c9dac49a6fabe17b203de972740bd9e7ce464f7cffa665b2,8cd9a0360ecb0f36275d3b2caccac7239c647b9dbc06226d5aa94ce871db1c42,1ac7e6497e6d213a73f7fa1455981dc9183362ad87ac691522e65294688b949e
F3B5_HO_D0009,9,BASELINE,F3BBG_N015_A0_Q001_R009:NULL:PRIMARY,F3BBG_N015_A0_Q001_R009,0,d8f09d043f16fd9ac381066081c9c7b595a098aa053d040d8b2dc9fcd9aac466,VALID,3,-5.5389558673736,-0.0441098943137348,-1.9548339578959277,-5.494845973059865,-1.910724063582193,False,231.91714894677958,formal_m1_center_not_selected,1e0c4bf86137c1c4756df9a7975135b6e4c792334b6b68f0f97773098545bd42,f170dd5e39812a9553b7dcd1c2d309a44763d48ba969314e3801cfdecfc45004,91a6e7c74bca4c6e217fea86ff19cc630e42fb12d559798a26a0236043b2f9e2
F3B5_HO_D0010,10,BASELINE,F3BBG_N015_A0_Q001_R009:POS:PRIMARY,F3BBG_N015_A0_Q001_R009,0,63c5c6b3f835ae6f63a4a136ceb1131db1988ba7b5775f5b71be0a00eb86ee90,VALID,3,-5.705026552123913,-0.17603941648133414,-2.009849927092451,-5.528987135642579,-1.8338105106111167,False,234.74788889269547,formal_m1_center_not_selected,ea38600d6cc85545c93a3502e77b649cc4a4aee7dc20e798826954d08bc96542,c5c9b3990bffa5e8a6c24f7621fb4981e67fae2f6aad3e3cc0572cc0a4a00f3c,6deae33aa111e377b1b3ad5f1aed86a410b236cf87b322cb97fac4da5a5d9859
F3B5_HO_D0011,11,BASELINE,F3BBG_N015_A0_Q001_R010:NULL:PRIMARY,F3BBG_N015_A0_Q001_R010,0,73fdabc6ddefa51169ab35a0003d88b6ba99d7ab9ca7a8cc649f1bf4925fa09d,VALID,3,-4.885257620704424,0.731642222119941,-1.1692966208735234,-5.616899842824365,-1.9009388429934644,False,219.17522665581168,formal_m1_center_not_selected,84527f1b5e4af75d0cdeaa8dff90167206ae7586f76034652847a32929697bbd,a450bcd9ef1635b9eb2dc871b03fff6fa998c8ee7615bb3abc52549ee8a734ad,a90df467e148cd82a2468caa5e37e39482137c2a1df0a2e772998050023681bd
F3B5_HO_D0012,12,BASELINE,F3BBG_N015_A0_Q001_R010:POS:PRIMARY,F3BBG_N015_A0_Q001_R010,0,6cff01eec2cc788026bee9423476ed9ce529d0976794235064ca013afc174861,VALID,3,-4.5628847407337645,1.0162860336354953,-0.9076802730613744,-5.57917077436926,-1.9239663066968697,False,152.93424519268322,formal_m1_center_not_selected,ad19da6b26b9c8bb32383df0b98cbb5077bc9fe33c93e83ffebd0ec3e0fb9e40,15d853236befa89a1129efbe13d3caff8d1d11355a09766d209283156f90a117,b0991f61c7f4eda2ae6882e586c4c5ee4c5bea93c707adc8e72864e0eb7308fa
F3B5_HO_D0013,13,BASELINE,F3BBG_N015_A0_Q001_R011:NULL:PRIMARY,F3BBG_N015_A0_Q001_R011,0,3a01d590d7221e6c857e287f520506a06e4a90ef04b3c283afe301f1e68daec6,VALID,3,-4.871064057245244,0.5836331981889984,-1.3366989071306579,-5.454697255434242,-1.9203321053196563,False,40.0,formal_m1_center_not_selected,eb3b4cf2600cb8af6022df27fcf600e3b94b286781805d6426d65a10b8eab079,82c53e26e02abde46a067a6daab1923e9dd1a4ec4a251e9209542cc6f023d236,85b6f0001a4bb3e18b5581bd655c91d798f03f59ec7be9bfb43133c325caf3c4
F3B5_HO_D0014,14,BASELINE,F3BBG_N015_A0_Q001_R011:POS:PRIMARY,F3BBG_N015_A0_Q001_R011,0,1e5336fd51c9b3ed6387e4927e4fcef87b0880041d66a62886a0094360f88ae8,VALID,3,-4.783685132790303,0.6453224768184747,-1.2962689619325198,-5.429007609608778,-1.9415914387509945,False,129.39194085694604,formal_m1_center_not_selected,c53fd87745365fb3d44e0c9417f7d19186caa17ee28596e432fe171bd0744dbc,aef67376206f48f4c9bd527ecd0e523e3d6405e16158dd15ebfcdd5b4d031df8,e953177eefbe2b73c7cc1e71258d2331d4883ae10afbf365aca121bec30a6750
F3B5_HO_D0015,15,BASELINE,F3BBG_N015_A0_Q001_R014:NULL:PRIMARY,F3BBG_N015_A0_Q001_R014,0,7af411256d9d0e46b34692b70867b98bd414df0d4af0e43012d5ff99976026f9,VALID,3,-4.887409335466305,0.613270417706973,-1.3087663803228944,-5.500679753173278,-1.9220367980298674,False,132.99607971500672,formal_m1_center_not_selected,adbd36b6e5e5ae7b3ca02c9547c989f29de1302bf6d22ad75f46916307a5c744,7cdad4c6f55319c9bea060e49ec9ee7dcb82865d7c8d14eeb1b56a37d87dcfaf,5896bc9edd20ed7c2ac7bcaa05742cddaea6fd70ea3a9a38743ca9c5845d1ab4
F3B5_HO_D0016,16,BASELINE,F3BBG_N015_A0_Q001_R014:POS:PRIMARY,F3BBG_N015_A0_Q001_R014,0,fe65eaa6d3073e3e1a0ccf825bcbf7f1ec9c1f3ff58c24409273aa1853e37cc3,VALID,3,-4.977409309705061,0.45324574918554106,-1.4683121802125187,-5.430655058890602,-1.9215579293980598,False,130.76440355127292,formal_m1_center_not_selected,8c101c9e7968b913a1b077c80b6564b407f8de103fbcbda7479aae59f611e873,4421854ba9685a7575f2987d113987679fcd9448a346c6e8de8bfb5cb879cce5,e422653849c11c5443e0ce17e72a03e76a43c23f25c3f4f2e0273b7989b94cff
F3B5_HO_D0017,17,BASELINE,F3BBG_N015_A0_Q001_R015:NULL:PRIMARY,F3BBG_N015_A0_Q001_R015,0,ff82e25584019f56b000804f016aee5a38f7299f73deae6f2b23055cf578da11,VALID,3,-4.64751308588564,0.6989118798551122,-1.1607804190709041,-5.346424965740752,-1.8596922989260163,False,151.6940467310047,formal_m1_center_not_selected,86ba57cc17c2de156253b478227214c7dab8058b19ac1d68cab57b8ad1e688fe,2f77dd7ac27f3e44afb08880e7f1af7213fd9c76b54ae5422e088404fc5c5c02,3b25dad4e80f0ba5377696fb2b9c900b76054cb15c2d1eb4aadcb835b7aa5bec
F3B5_HO_D0018,18,BASELINE,F3BBG_N015_A0_Q001_R015:POS:PRIMARY,F3BBG_N015_A0_Q001_R015,0,1d489344604f9c193df4cc4cc1b8f0ba34f9f49b14b3b429248c8836aaa6f2f0,VALID,3,-4.36835067246216,1.0950836074669805,-0.8104636806799439,-5.463434279929141,-1.9055472881469244,False,152.52820961866482,formal_m1_center_not_selected,eaef3563aa8619ce3a62adf9d05af6b725dca79f42f2bc3dd897f36330ffe2b8,0c42a492f92063b25497e496396cdd24d3a19b2656d5dd0b15c591a246604a2d,ff9c449a173b117e05e51b38e585e39ad267ad6f16f950b6f72c5017536a33c1
F3B5_HO_D0019,19,BASELINE,F3BBG_N015_A0_Q001_R016:NULL:PRIMARY,F3BBG_N015_A0_Q001_R016,0,c945aae9ed69e8064e4e1adece04dc449c999a37916c61a8b31eacaf06a2702e,VALID,3,-4.955632407271139,0.6572628965757836,-1.253222571859344,-5.612895303846923,-1.9104854684351276,False,208.1533152549257,formal_m1_center_not_selected,39c56e355ede9b91fd254d99b59cda8df5ef79853c15ea0eeddc5ed6fd49bc29,38685a018a06a46e56cd33cd70c31d4381d1b7ccb6523085971ef1fa934697db,109b4f22f912dd5172f178edfd2036599f87a4cb5486e183db73da6d6c02bad4
F3B5_HO_D0020,20,BASELINE,F3BBG_N015_A0_Q001_R016:POS:PRIMARY,F3BBG_N015_A0_Q001_R016,0,6a5d93a46b9ad014ed97686f8f9e680707b20179aea57a532dfc8e478cf61d3c,VALID,3,-4.478482504238745,1.0859128014063835,-0.8586677142405152,-5.564395305645128,-1.9445805156468987,False,172.41695988685044,formal_m1_center_not_selected,047dcd472e04d250ce47c0f0b87ba15913451f49c099dfa4839bfed2900b8cad,a5d0b4009879c0fa805fa8e003151dac9d05bab63aa462d36c06f98233d6cc47,e3668deacbe677c2b29f40592bc451db64a4f6b70247e63e5a22f65109ae6a8b
F3B5_HO_D0021,21,BASELINE,F3BBG_N015_A0_Q001_R017:NULL:PRIMARY,F3BBG_N015_A0_Q001_R017,0,330341933ea05ea10fb318b3ca38281b8bcc03c609283f8e569aaf8f02396f33,VALID,3,-4.611781970928568,0.8157111688775807,-1.1321445348302879,-5.427493139806149,-1.9478557037078685,False,192.519724968415,formal_m1_center_not_selected,cfe91ebe7667876da281d8ee8149945ee13dced7e5bdae4056c6188607fa9946,d09a20f6ad2d499d3233497156cbf6f2bd089064999a6fcb01fdd524ece7c3be,032e4ff8e59866af4b60d9bef0a70dbb41a6bf52ffbcae48be7e4072980916a9
F3B5_HO_D0022,22,BASELINE,F3BBG_N015_A0_Q001_R017:POS:PRIMARY,F3BBG_N015_A0_Q001_R017,0,684645d766afb10dd44028947166a340905467ff7cc7fa1777181684d864538a,VALID,3,-4.308575614922562,1.1436422275698597,-0.7792939316679357,-5.452217842492422,-1.9229361592377954,False,169.92518951370832,formal_m1_center_not_selected,dc89e8a27f3ad7dc46ffbccf84b837fe0e1621e05101e467285070964c3b25d7,51b80a3d2059d1654daf3c6f54dab78103f54301f3e51dfabe17aa8881255fdd,3fbcbefe7a97cf4015f1e0e5ba82d5bd83530c96131de31172f8b16556033397
F3B5_HO_D0023,23,BASELINE,F3BBG_N015_A0_Q001_R018:NULL:PRIMARY,F3BBG_N015_A0_Q001_R018,0,ea66a9d8fdfcbd5d42ee04e3697c67207867103def86b832f967b94ec7f26527,VALID,3,-5.307378158925825,0.18085075280643892,-1.7034750222598811,-5.488228911732264,-1.88432577506632,False,236.89790033011647,formal_m1_center_not_selected,be678e8b8bb2736a429a41d879d466edee31bdf0ce64723a704858dc23b79178,4bb75b2ce73bcc32cf2ccadeb62443f453b65877fbe6304b9f88bfd2cb97f3a5,e9ba1ff864f208b9aa967b110c1bc3c17b609e4a622505d721c893842a8e11f5
F3B5_HO_D0024,24,BASELINE,F3BBG_N015_A0_Q001_R018:POS:PRIMARY,F3BBG_N015_A0_Q001_R018,0,5dcb80d20a89e393140b5619d26e38ce8891cf1cf7c8beab7f58412b3dc10182,VALID,3,-5.629820905939493,-0.12795897675790968,-2.0454184968851914,-5.501861929181583,-1.9174595201272817,False,130.0707318671025,formal_m1_center_not_selected,e5dbad6e214f8ebee0539857bcdc01270597e12f5009e310e88669855c822067,185704df1d595a8430b4c6972e24ad00a4f9fc8def28f5ed89a832d533be7d74,bbcec2791165e61966928a3542f4aa558ee8be317619608c20e79d9559bc036c
F3B5_HO_D0025,25,BASELINE,F3BBG_N015_A0_Q001_R020:NULL:PRIMARY,F3BBG_N015_A0_Q001_R020,0,07d57afcea45563e490c2dfb337d9944adf3f7687bbf0ae4b7e24e5dbff985e1,VALID,3,-5.510509441720901,-0.12594546761603453,-2.080327928512488,-5.384563974104866,-1.9543824608964533,False,175.07818184263112,formal_m1_center_not_selected,acec6614ef3b818b0be3fd62160c8e445d293504c04c882097d81c22fcc0f40a,780f3e291063995163fa118ac036b46df09056302d4230e4b6da4670f8723910,096318045bb2e121acda17edfd733ece7a287ba628779d3f1393651d51966994
F3B5_HO_D0026,26,BASELINE,F3BBG_N015_A0_Q001_R020:POS:PRIMARY,F3BBG_N015_A0_Q001_R020,0,6f128f3f0a9d696d4ccb3454b023de6a67b08a526b9de751f9efe264ddc7eaa8,VALID,3,-5.426711124514984,0.04394622495649081,-1.9155134879932953,-5.470657349471475,-1.9594597129497862,False,184.0087385752208,formal_m1_center_not_selected,ae5b7fe9e86f7f7df008e9b04754c07304ece289189dea4e77eb981500053f22,605acb05a08ea45d264bdee8a403376589e899953da6941dce4fe4bd6d0df502,8869914ae48aa396fca65414026ff4ed37fd31f274968e49feb74413bd5032c9
F3B5_HO_D0027,27,BASELINE,F3BBG_N015_A0_Q001_R021:NULL:PRIMARY,F3BBG_N015_A0_Q001_R021,0,1ae22ff432d0f39c9d1bd97373c166dd1ba6e37ac3acabf1db57846f352e68ce,VALID,3,-5.082925439730586,0.40715388232764127,-1.494772488640673,-5.490079322058227,-1.9019263709683143,False,127.43430659317286,formal_m1_center_not_selected,aaac2f8f5815ee665ba5d8c90d672bc09d7b09c9beb1c304fac1e0249e78eac6,e2c832724b7b0c04e2c50253ab7add5bc7a9929d8fc78cb9ef3017217148b330,1f326e823eaa6c3f80c8a33d28ee48469add67920cf5c2f2b842e60bb0a028be
F3B5_HO_D0028,28,BASELINE,F3BBG_N015_A0_Q001_R021:POS:PRIMARY,F3BBG_N015_A0_Q001_R021,0,1de7ccb9dd7100780f9daa8c01404fd7e7928fa16aec69ab02e8055a54fba13b,VALID,3,-4.660854951866433,0.7363825167854667,-1.1360278461098803,-5.3972374686519,-1.872410362895347,False,124.44447644637799,formal_m1_center_not_selected,72cea379f42cdfa7de1d216246aae9ba260d07961535021b5159dd725a47bbe9,112d202d47844bc23cbc8b65c600abd3f72dc5c68e249c8574ddaf199be6c449,92c91931a1aa4fd8fcdc7ae52c7a68f75b005cd47d548cb35e4009ee484e2e6b
F3B5_HO_D0029,29,BASELINE,F3BBG_N015_A0_Q001_R022:NULL:PRIMARY,F3BBG_N015_A0_Q001_R022,0,7bf612f8ccff93a7cf3f345c8ccfdd2dd5a26cbe2b395cec40d91d85a399a1a9,VALID,3,-5.177348056959133,0.45961663001623165,-1.4741952970389258,-5.6369646869753645,-1.9338119270551575,False,129.66083215255384,formal_m1_center_not_selected,1cc4e67cccbddeedbecf73050511802901716b3ce47c08fdd862569ea9263b65,9585bc01f92c1443cc95a693646298a009f280917f7f3d10716db2bbe5cbe681,657227761b8254d16f62fa0a73c3d96b0b7f50e9c622caa32b9145ee3ed0df47
F3B5_HO_D0030,30,BASELINE,F3BBG_N015_A0_Q001_R022:POS:PRIMARY,F3BBG_N015_A0_Q001_R022,0,cb178d6d545cd1bee7ecd09494e454224554c72a86485d14ef8b5a2f089c3080,VALID,3,-5.36137038629257,0.2558113764961423,-1.6875004795112405,-5.617181762788713,-1.9433118560073828,False,125.07642944464324,formal_m1_center_not_selected,a1e58f11743dc4d86fcf1fc8897c1b5c85618188395a7d4f03e115a916a86c0f,8f808f21db639bb1ccf270104293bdd08df9ec2e75744d3faf4cc2903f4ecd4c,5d70c9358d456b9c2303daa5ac463a4bf1004f4323ed02b68cce62c5970ffe6c
F3B5_HO_D0031,31,BASELINE,F3BBG_N015_A0_Q001_R023:NULL:PRIMARY,F3BBG_N015_A0_Q001_R023,0,f8f8319ec029c46c4f82192b9db92901a70acd4f6fa468226d5f26ca190d0f00,VALID,3,-3.826563324490444,1.6488463481570825,-0.3028170989744323,-5.475409672647526,-1.9516634471315149,False,185.27790346533038,formal_m1_center_not_selected,1ab3844269d2ee4145f39621d552627f83315de310f1fd8106d967904ebf6c2d,066037848220c09377696a5f800672371220341b26b398a362115a95bb7fd05b,9cdd6a4f052e0a7709a114c6f69faac12bd9e0a195a79eddbc8f02f86ec94e18
F3B5_HO_D0032,32,BASELINE,F3BBG_N015_A0_Q001_R023:POS:PRIMARY,F3BBG_N015_A0_Q001_R023,0,af6502e4762b7bfb33f394989ff43dadc1f0fef992f3be883da668d1d4736c6d,VALID,3,-3.865469172045785,1.5274281567419745,-0.4202947938160593,-5.392897328787759,-1.9477229505580338,False,172.2721120003868,formal_m1_center_not_selected,1a6708f671a48040d8bbbaac67172d41b5ed0dd50fad529208b9c60f340eb8a6,45e593a54b983b687775c98bf1f8ce87c3cfe26a4659001b92b781db9f89329a,a1b930ab1b61bd5b808573f42463b53ef0fb63f41109235941fc4e57c62d7639
F3B5_HO_D0033,33,BASELINE,F3BBG_N015_A0_Q001_R024:NULL:PRIMARY,F3BBG_N015_A0_Q001_R024,0,a652828a5328ac200fbf4dbecd9747082d8838b8cd8980ebae08e48f88ff33dc,VALID,3,-4.8382762270909705,0.6681566253994902,-1.1964426704914137,-5.506432852490461,-1.864599295890904,False,233.5704452703888,formal_m1_center_not_selected,bb435225bb7df479f68ecce74fd799dfcdcb17a9f9224db7f0f987b344559029,d524319828592ee6d9ad5a18879095c8336033c127cf73208c74e2426407a731,d9e67ded4c2140f9fed8472e183e9edb9bafe4306ea95196ed3b4d29021ed6dd
F3B5_HO_D0034,34,BASELINE,F3BBG_N015_A0_Q001_R024:POS:PRIMARY,F3BBG_N015_A0_Q001_R024,0,2e4d9eaa4010b9325884d84c28b39fc0f916fecf08813e9e93253f059dff78cf,VALID,3,-5.094849945640297,0.4545491650912705,-1.3427538228258102,-5.549399110731567,-1.7973029879170808,False,221.79121358244754,formal_m1_center_not_selected,924d31f6d21fda775b58c8ad95a8c18fbe35274a993da8bd3609c68e9150b56c,4063f788bb4e0a1a20e531ba806b754e17ee31d0e662b62818c73ee125a945d1,cf82afc147d2de738adbb61013a0980c1a59e2ca523be71bc045df631a9614ff
F3B5_HO_D0035,35,BASELINE,F3BBG_N015_A0_Q001_R026:NULL:PRIMARY,F3BBG_N015_A0_Q001_R026,0,1484cd1fdf18f0d434be5b75ccf2c7c50fb4995faa65ea305007ce5c4b8d5ade,VALID,3,-5.061328831089494,0.3021130172881481,-1.6246876409968296,-5.363441848377642,-1.9268006582849777,False,162.83530434521754,formal_m1_center_not_selected,35241db86680fd0675ca89fe036ddd801186452c8428c2e7c176175ebcd78621,50e11a7a5697c5e811119d01d989d95c69fb456d9532273590841ade1da18854,1d8b0c771aa4708a4afc0570b0f966e33d1b186ab5b3cfeec4c1eb1fd59fb310
F3B5_HO_D0036,36,BASELINE,F3BBG_N015_A0_Q001_R026:POS:PRIMARY,F3BBG_N015_A0_Q001_R026,0,f12ced5f7b33e96b477e5f45a10958faa13f180d8a43df771c5ed88a0e500c2b,VALID,3,-5.325997012632277,0.004249790318848312,-1.9219291213745544,-5.330246802951125,-1.9261789116934027,False,160.16923197283424,formal_m1_center_not_selected,114fc981e1e566f89b709dd024b9c68a2a398ae67da06958c58a5bcafc95cdb0,a43445c90507ac1172eb3fac081d401191986753ed0443b0025a4ef3dc5817d8,1653bd4a62d35132560541e7085473aa1dc688df11d3a78a7f60f2dd3fd18221
F3B5_HO_D0037,37,BASELINE,F3BBG_N015_A0_Q001_R027:NULL:PRIMARY,F3BBG_N015_A0_Q001_R027,0,9c80acc9f39b367f153e6bd6ad8fed3b6a9377fbfe87b244a31928f04004cf29,VALID,3,-5.1068519985422185,0.3144032896071529,-1.6320514727846467,-5.421255288149371,-1.9464547623917996,False,165.1465700625299,formal_m1_center_not_selected,e33d333a407d25c8a1e7aa0b358c16842c2b2f1865a94f25c7dcfdf665398ed8,471014d58e8a1d08a718bcd97d38b2efca4038026b72e6d1c9d3197cce69d06a,cedfe09267c9b97c566be72f3a750c7be183c6b42dc07dd70e470ec9ba6adfa1
F3B5_HO_D0038,38,BASELINE,F3BBG_N015_A0_Q001_R027:POS:PRIMARY,F3BBG_N015_A0_Q001_R027,0,55ad8c19db41aee4598cde4b73c8d3f229a0c379f285d2e8072ffe7f19a6dde1,VALID,3,-5.12333835281877,0.27770566819307874,-1.6735840659837296,-5.401044021011849,-1.9512897341768083,False,172.02067969301018,formal_m1_center_not_selected,ce5f94c5ebd27d28e9e886055b4fcc4563c7cd75268ab47f26a3f27c6972a774,003275950e7c35007864c2f20e2664d0fe17d8f9be15f79a5332012b1ef4c9d4,cb1e6e1012b858670fc92e3b5139adbaada6fe370022afdd408ed765c2900ecd
