planned_decision_id,decision_class,variant_id,event_id,pair_id,observational_role,window_variant_id,processing_profile_id,external_optimizer_seed,decision_status,valid_models,bic_m0,bic_m1,bic_m2,delta_bic_0_1,delta_bic_2_1,qpp_selected,formal_m1_period_s,period_label
F2D000379,primary,F2V000379,P2_published_qpp_pdcsap_all,P2,PUBLISHED_QPP_REPRODUCED,WX2,P00,0,VALID,3,-587.8431724966571,-598.669870573815,-585.7074662656382,10.826698077157971,12.962404308176815,True,73.29455583732178,recovered_period_selected
F2D000383,primary,F2V000383,P2_published_qpp_pdcsap_all,P2,PUBLISHED_QPP_REPRODUCED,WX2,P04,0,VALID,3,-415.0583542396471,-424.99642060644504,-411.5778149648245,9.938066366797955,13.418605641620559,False,73.23339631837061,formal_m1_center_not_selected
F2D000457,primary,F2V000457,P2_not_selected_qpp_pdcsap_all,P2,MATCHED_NOT_SELECTED,WX2,P00,0,VALID,3,-1157.761958402588,-1152.8707917298311,-1152.9938369688675,-4.891166672756981,-0.12304523903640074,False,83.38371110111406,formal_m1_center_not_selected
F2D000461,primary,F2V000461,P2_not_selected_qpp_pdcsap_all,P2,MATCHED_NOT_SELECTED,WX2,P04,0,VALID,3,-1084.1867389458248,-1079.1861609105051,-1079.4017297650569,-5.000578035319677,-0.2155688545517478,False,83.3592318638315,formal_m1_center_not_selected
F2D000469,primary,F2V000469,P3_published_qpp_pdcsap_all,P3,PUBLISHED_QPP_REPRODUCED,W00,P00,0,VALID,3,-0.9597243265181321,-12.5787800222189,1.87289027375955,11.61905569570077,14.45167029597845,True,44.031313737389596,recovered_period_selected
F2D000470,primary,F2V000470,P3_published_qpp_pdcsap_all,P3,PUBLISHED_QPP_REPRODUCED,W00,P01,0,VALID,3,2.6727975873992866,0.640722324785866,6.961514502306008,2.0320752626134206,6.320792177520142,False,40.0,formal_m1_center_not_selected
F2D000471,primary,F2V000471,P3_published_qpp_pdcsap_all,P3,PUBLISHED_QPP_REPRODUCED,W00,P02,0,VALID,3,-0.9597243265181321,-12.5787800222189,1.87289027375955,11.61905569570077,14.45167029597845,True,44.031313737389596,recovered_period_selected
F2D000472,primary,F2V000472,P3_published_qpp_pdcsap_all,P3,PUBLISHED_QPP_REPRODUCED,W00,P03,0,VALID,3,2.6727975873992866,0.640722324785866,6.961514502306008,2.0320752626134206,6.320792177520142,False,40.0,formal_m1_center_not_selected
F2D000473,primary,F2V000473,P3_published_qpp_pdcsap_all,P3,PUBLISHED_QPP_REPRODUCED,W00,P04,0,VALID,3,2.21729763818185,-9.05099898467991,6.498749232618758,11.268296622861762,15.549748217298669,True,44.22217649583494,recovered_period_selected
F2D000474,primary,F2V000474,P3_published_qpp_pdcsap_all,P3,PUBLISHED_QPP_REPRODUCED,W00,P05,0,VALID,3,6.194809769831138,4.44929447528369,10.053032051587794,1.745515294547448,5.603737576304104,False,40.0,formal_m1_center_not_selected
F2D000547,primary,F2V000547,P3_not_selected_qpp_pdcsap_all,P3,MATCHED_NOT_SELECTED,W00,P00,0,VALID,3,-16.522256456196683,-11.32939501348012,-12.950548688220742,-5.192861442716563,-1.621153674740622,False,49.01390226976184,formal_m1_center_not_selected
F2D000548,primary,F2V000548,P3_not_selected_qpp_pdcsap_all,P3,MATCHED_NOT_SELECTED,W00,P01,0,VALID,3,-17.618614989146497,-12.416181896285433,-14.072478069701962,-5.202433092861064,-1.6562961734165285,False,48.83262359601802,formal_m1_center_not_selected
F2D000549,primary,F2V000549,P3_not_selected_qpp_pdcsap_all,P3,MATCHED_NOT_SELECTED,W00,P02,0,VALID,3,-16.522256456196683,-11.32939501348012,-12.950548688220742,-5.192861442716563,-1.621153674740622,False,49.01390226976184,formal_m1_center_not_selected
F2D000550,primary,F2V000550,P3_not_selected_qpp_pdcsap_all,P3,MATCHED_NOT_SELECTED,W00,P03,0,VALID,3,-17.618614989146497,-12.416181896285433,-14.072478069701962,-5.202433092861064,-1.6562961734165285,False,48.83262359601802,formal_m1_center_not_selected
F2D000551,primary,F2V000551,P3_not_selected_qpp_pdcsap_all,P3,MATCHED_NOT_SELECTED,W00,P04,0,VALID,3,-17.562881704810376,-12.455581557904186,-14.045838948458048,-5.107300146906191,-1.5902573905538624,False,49.010603856918024,formal_m1_center_not_selected
F2D000552,primary,F2V000552,P3_not_selected_qpp_pdcsap_all,P3,MATCHED_NOT_SELECTED,W00,P05,0,VALID,3,-18.672182787196903,-13.556715219786728,-15.182214975221601,-5.115467567410175,-1.6254997554348734,False,48.83725886495807,formal_m1_center_not_selected
F2D001105,stability,F2V000469,P3_published_qpp_pdcsap_all,P3,PUBLISHED_QPP_REPRODUCED,W00,P00,1,VALID,3,-0.9597243265181321,-12.578780021769749,1.8728902544082633,11.619055695251618,14.451670276178012,True,44.031326236130056,recovered_period_selected
F2D001114,stability,F2V000470,P3_published_qpp_pdcsap_all,P3,PUBLISHED_QPP_REPRODUCED,W00,P01,1,VALID,3,2.6727975873991765,0.6407223895300902,5.911310661363013,2.0320751978690863,5.2705882718329224,False,40.0,formal_m1_center_not_selected
F2D001123,stability,F2V000471,P3_published_qpp_pdcsap_all,P3,PUBLISHED_QPP_REPRODUCED,W00,P02,1,VALID,3,-0.9597243265181321,-12.578780021769749,1.8728902544082633,11.619055695251618,14.451670276178012,True,44.031326236130056,recovered_period_selected
F2D001132,stability,F2V000472,P3_published_qpp_pdcsap_all,P3,PUBLISHED_QPP_REPRODUCED,W00,P03,1,VALID,3,2.6727975873991765,0.6407223895300902,5.911310661363013,2.0320751978690863,5.2705882718329224,False,40.0,formal_m1_center_not_selected
F2D001141,stability,F2V000473,P3_published_qpp_pdcsap_all,P3,PUBLISHED_QPP_REPRODUCED,W00,P04,1,VALID,3,2.2172976381818144,-9.050998984725876,5.290717006278376,11.268296622907691,14.341715991004252,True,44.222140357650744,recovered_period_selected
