planned_decision_id,planned_order,decision_class,event_id,pair_id,observational_role,window_variant_id,processing_profile_id,external_optimizer_seed,execute_only_if_eligible,planned_models,candidate_discovery_use
F2D000001,1,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,W00,P00,0,true,M0|M1|M2,false
F2D000002,2,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,W00,P01,0,true,M0|M1|M2,false
F2D000003,3,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,W00,P02,0,true,M0|M1|M2,false
F2D000004,4,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,W00,P03,0,true,M0|M1|M2,false
F2D000005,5,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,W00,P04,0,true,M0|M1|M2,false
F2D000006,6,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,W00,P05,0,true,M0|M1|M2,false
F2D000007,7,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WSm2,P00,0,true,M0|M1|M2,false
F2D000008,8,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WSm2,P01,0,true,M0|M1|M2,false
F2D000009,9,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WSm2,P02,0,true,M0|M1|M2,false
F2D000010,10,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WSm2,P03,0,true,M0|M1|M2,false
F2D000011,11,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WSm2,P04,0,true,M0|M1|M2,false
F2D000012,12,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WSm2,P05,0,true,M0|M1|M2,false
F2D000013,13,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WSm1,P00,0,true,M0|M1|M2,false
F2D000014,14,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WSm1,P01,0,true,M0|M1|M2,false
F2D000015,15,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WSm1,P02,0,true,M0|M1|M2,false
F2D000016,16,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WSm1,P03,0,true,M0|M1|M2,false
F2D000017,17,primary,published_qpp_pdcsap_all,calibration_pair,PUBLISHED_QPP_REPRODUCED,WSm1,P04,0,true,M0|M1|M2,false
